player,shots,goals,total_xg,g_minus_xg,xg_per_shot
Aaron Mooy,3,0,0.11155984013358043,-0.11155984013358043,0.037186613377860146
Aaron Ramsey,8,1,1.188604734672367,-0.18860473467236694,0.14857559183404587
Abdalla Mahmoud El Said Bekhit,2,0,0.10153545363195418,-0.10153545363195418,0.05076772681597709
Abdelhamid Sabiri,2,0,0.07161142003443624,-0.07161142003443624,0.03580571001721812
Abdelkarim Hassan Al Haj Fadlalla,6,0,0.3005047635330069,-0.3005047635330069,0.050084127255501154
Abderrazak Hamdallah,2,0,0.6530103961428428,-0.6530103961428428,0.3265051980714214
Abdessamad Ezzalzouli,1,0,0.058595102736888886,-0.058595102736888886,0.058595102736888886
Abdou Diallo,1,0,0.03374555140829858,-0.03374555140829858,0.03374555140829858
Abdulaziz Hatem Mohammed Abdullah,1,0,0.02424650491748185,-0.02424650491748185,0.02424650491748185
Abdulelah Al Amri,1,0,0.07527550379521415,-0.07527550379521415,0.07527550379521415
Abdulelah Saad Hameed Al-Malki,2,0,0.10268592126810386,-0.10268592126810386,0.05134296063405193
Abdullah Ibrahim Otayf,2,0,0.1280926182904117,-0.1280926182904117,0.06404630914520586
Abdulrahman Al-Obood,1,0,0.05578612318626155,-0.05578612318626155,0.05578612318626155
Abdülkerim Bardakcı,2,0,0.25430884295211603,-0.25430884295211603,0.12715442147605802
Achraf Dari,1,1,0.447028237568076,0.5529717624319239,0.447028237568076
Achraf Hakimi Mouh,4,0,0.11700273634277084,-0.11700273634277084,0.02925068408569271
Adam Buksa,3,1,0.1233720862449441,0.8766279137550559,0.0411240287483147
Adam Gnezda Čerin,4,0,0.3161395787288121,-0.3161395787288121,0.07903489468220302
Adam Hložek,5,0,0.5696383401064823,-0.5696383401064823,0.11392766802129646
Adem Ljajić,1,0,0.029409792201617293,-0.029409792201617293,0.029409792201617293
Admir Mehmedi,2,0,0.09921334678142402,-0.09921334678142402,0.04960667339071201
Adnan Januzaj,3,1,0.14595887945676905,0.854041120543231,0.048652959818923015
Adrien Rabiot,15,1,1.2341708724689644,-0.2341708724689644,0.08227805816459763
Adrien Sebastian Perruchet Silva,2,0,0.08593341042940124,-0.08593341042940124,0.04296670521470062
Ahmad Nourollahi,5,0,0.08683868318319903,-0.08683868318319903,0.017367736636639805
Ahmed Fathy Abdel Meneim Ibrahim,1,0,0.029392408422217336,-0.029392408422217336,0.029392408422217336
Ahmed Musa,4,2,0.8838189897945253,1.1161810102054748,0.22095474744863133
Ajdin Hrustic,1,0,0.019264575267506166,-0.019264575267506166,0.019264575267506166
Akram Hassan Afif,2,0,0.05383974289650677,-0.05383974289650677,0.026919871448253384
Alan Dzagoev,1,0,0.08815579639859195,-0.08815579639859195,0.08815579639859195
Alberto Junior Rodríguez Valdelomar,2,0,0.034537925256101276,-0.034537925256101276,0.017268962628050638
Albin Ekdal,5,0,0.49285979680867764,-0.49285979680867764,0.09857195936173553
Alejandro Balde Martínez,1,0,0.055535899974865174,-0.055535899974865174,0.055535899974865174
Alejandro Darío Gómez,2,0,0.0515976975723081,-0.0515976975723081,0.02579884878615405
Aleksandar Dragović,1,0,0.045214311569815535,-0.045214311569815535,0.045214311569815535
Aleksandar Kolarov,1,0,0.01970776510336881,-0.01970776510336881,0.01970776510336881
Aleksandar Mitrović,36,3,4.24419317209821,-1.2441931720982096,0.11789425478050582
Aleksandar Trajkovski,6,0,0.22853216502972454,-0.22853216502972454,0.03808869417162076
Aleksandr Erokhin,3,0,0.37906568042237676,-0.37906568042237676,0.12635522680745892
Aleksandr Golovin,7,0,0.3957772593614952,-0.3957772593614952,0.0565396084802136
Aleksandr Samedov,2,0,0.0914674541449437,-0.0914674541449437,0.04573372707247185
Aleksey Miranchuk,1,1,0.11282630429334133,0.8871736957066587,0.11282630429334133
Alessandro Bastoni,3,1,0.4972175146475335,0.5027824853524665,0.16573917154917783
Alessandro Schöpf,1,0,0.021671225758633422,-0.021671225758633422,0.021671225758633422
Alex Iwobi,4,0,0.14812160370630623,-0.14812160370630623,0.03703040092657656
Alex Král,1,0,0.017087599194984607,-0.017087599194984607,0.017087599194984607
Alex Sandro Lobo Silva,1,0,0.026936359486876765,-0.026936359486876765,0.026936359486876765
Alexander Hartmann Bah,4,0,0.28040049463810535,-0.28040049463810535,0.07010012365952634
Alexander Isak,8,0,0.7287632516987321,-0.7287632516987321,0.09109540646234152
Alexis Mac Allister,7,1,0.530905454115302,0.469094545884698,0.075843636302186
Alfred John Momar N'Diaye,1,0,0.13942304465485678,-0.13942304465485678,0.13942304465485678
Alfreð Finnbogason,6,1,1.352075681959676,-0.352075681959676,0.22534594699327934
Ali Al Hassan,1,0,0.0987819109047841,-0.0987819109047841,0.0987819109047841
Ali Gabr,1,0,0.04312167899650502,-0.04312167899650502,0.04312167899650502
Ali Gholizadeh,1,0,0.03638775971642412,-0.03638775971642412,0.03638775971642412
Alidu Seidu,1,0,0.017449751935749123,-0.017449751935749123,0.017449751935749123
Alireza Jahanbakhsh,4,0,0.28436187135239427,-0.28436187135239427,0.07109046783809857
Alistair Johnston,2,0,0.8354273739781167,-0.8354273739781167,0.41771368698905836
Almoez Ali Zainalabiddin Abdulla,3,0,0.37051819538986813,-0.37051819538986813,0.12350606512995604
Alphonso Davies,2,1,0.14383082846170833,0.8561691715382916,0.07191541423085417
Amadou Onana,5,0,0.6527422394357489,-0.6527422394357489,0.13054844788714978
Amine Harit,3,0,0.21954776812306084,-0.21954776812306084,0.07318258937435361
Amr Medhat Warda,2,0,0.16721250997753984,-0.16721250997753984,0.08360625498876992
Andraž Šporar,8,0,1.0911767261931484,-1.0911767261931484,0.13639709077414355
Andrea Belotti,8,0,1.1114147074612999,-1.1114147074612999,0.13892683843266249
Andreas Christensen,9,2,1.2008099939694274,0.7991900060305726,0.13342333266326972
Andreas Evald Cornelius,10,0,0.8893669534522805,-0.8893669534522805,0.08893669534522805
Andreas Granqvist,4,0,0.2617541259428575,-0.2617541259428575,0.06543853148571438
Andreas Skov Olsen,5,0,0.3134427753233566,-0.3134427753233566,0.06268855506467133
